task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/active/active-trio-full-audit-20260724,active,3,True,2026-07-24 | 2026-07-25 | 2026-09-01,planning/active/active-trio-full-audit-20260724/findings.md | planning/active/active-trio-full-audit-20260724/progress.md | planning/active/active-trio-full-audit-20260724/task_plan.md
planning/active/chief-worker-session-routing-issue-20260709,active,3,True,2026-07-09 | 2026-07-10 | 2026-09-01,planning/active/chief-worker-session-routing-issue-20260709/findings.md | planning/active/chief-worker-session-routing-issue-20260709/progress.md | planning/active/chief-worker-session-routing-issue-20260709/task_plan.md
planning/active/chiefops-goal-worker-analysis-20260728,active,3,True,2026-07-28 | 2026-09-01,planning/active/chiefops-goal-worker-analysis-20260728/findings.md | planning/active/chiefops-goal-worker-analysis-20260728/progress.md | planning/active/chiefops-goal-worker-analysis-20260728/task_plan.md
planning/active/chiefops-native-goal-worker-20260728,active,3,True,2026-07-28 | 2026-07-29,planning/active/chiefops-native-goal-worker-20260728/findings.md | planning/active/chiefops-native-goal-worker-20260728/progress.md | planning/active/chiefops-native-goal-worker-20260728/task_plan.md
planning/active/dev-to-main-pr-closure-20260624,active,3,True,2026-07-10 | 2026-09-01,planning/active/dev-to-main-pr-closure-20260624/findings.md | planning/active/dev-to-main-pr-closure-20260624/progress.md | planning/active/dev-to-main-pr-closure-20260624/task_plan.md
planning/active/github-issues-audit-remediation-20260627,active,3,True,2026-07-10,planning/active/github-issues-audit-remediation-20260627/findings.md | planning/active/github-issues-audit-remediation-20260627/progress.md | planning/active/github-issues-audit-remediation-20260627/task_plan.md
planning/active/global-adopt-20260612,active,3,True,2026-07-09 | 2026-07-10 | 2026-07-12 | 2026-09-01,planning/active/global-adopt-20260612/findings.md | planning/active/global-adopt-20260612/progress.md | planning/active/global-adopt-20260612/task_plan.md
planning/active/goal-round-start-protocol,active,3,True,2026-07-10,planning/active/goal-round-start-protocol/findings.md | planning/active/goal-round-start-protocol/progress.md | planning/active/goal-round-start-protocol/task_plan.md
planning/active/harness-backlog-roadmap-audit-20260628,active,3,True,2026-07-10,planning/active/harness-backlog-roadmap-audit-20260628/findings.md | planning/active/harness-backlog-roadmap-audit-20260628/progress.md | planning/active/harness-backlog-roadmap-audit-20260628/task_plan.md
planning/active/installer-artifact-surface-governance-plan-20260702,active,3,True,2026-07-09 | 2026-07-10,planning/active/installer-artifact-surface-governance-plan-20260702/findings.md | planning/active/installer-artifact-surface-governance-plan-20260702/progress.md | planning/active/installer-artifact-surface-governance-plan-20260702/task_plan.md
