session_ref,scope,origin_class,index_coverage,source_retention
sha256:54a9a36c7e1fa45786b2,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:46201469c05e752a0eb2,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:c1c957e9704dcb7623c1,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:742ef6c108c1297b5372,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:50b46b9e21f9905eabe4,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:f070eeac4d8f758888ce,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:a9ca44c0f7d03394544f,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:41cf565e886e6ab8a70c,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:0fa9c7a07dfa1309dd63,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:4dc5d96cd2d7fcb12046,swf,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:7e4dfc1d2862b9f70c22,swf,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:a04595d801bd04eb27c0,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:cc7be7616a8ae7c73a72,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:2abbe43368f4e83b2f0a,other-workspace,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:433c4b4b8fd570a161f0,swf,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:57b6920602b68cbff692,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:89692064f1c3808acc7d,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:bd4cd959684fd14ad1af,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:f2d8cd965645de3ed8b6,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:01321dcbe6441bfdd987,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:14e75a8be8f8b9f407bd,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:1e2421e49e9edf292aef,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:10392d7eabf0cf2cbc58,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:052ee8004cbbb54fc521,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:a27841219382d4fca9f2,swf,top_level_not_necessarily_human,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:4f5ec1c9229cf9101ce3,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:5cfd614461549e26e9d0,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:f8b493d0493ad7e84a84,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:920f0655d2015a5f131a,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:88213edb7d59f885efc6,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:a821a949da90ba3b2a58,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:f7137057ac5448f9c365,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:04b77460e6355d02255f,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:a7e2c0f7c1aa179a1959,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:92143891504582ebcf28,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:e39043437a4b73dc9d72,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:9e553f9a266a74c11a4e,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:db8f4d5d0789fd6bbfa2,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:48dd92a199ce58e2be7f,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:2ae21d1a7f4979b9bf63,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
sha256:f043d8565c5ef5765554,swf,native_subagent,machine_index_complete,Original session identifiers and machine paths retained in local audit backup.
